order_id,order_date,season,year,uniform_set,product_category,gender_age,size,color,number,quantity,unit_price
3639,9/26/2020,fall,2020,fall,top,womens,AL,Red,,1,50
3640,9/26/2020,fall,2020,fall,top,womens,AS,Royal,,1,50
3641,9/27/2020,fall,2020,fall,top,mens_youth,AL,Red,,1,50
3642,9/28/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3643,9/28/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3644,9/28/2020,fall,2020,fall,bottom,mens_youth,YL,,,1,28
3645,9/28/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3646,9/28/2020,fall,2020,fall,socks,mens_youth,AL,,,1,12
3647,9/28/2020,fall,2020,fall,socks,mens_youth,AL,,,1,12
3648,9/29/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3649,9/29/2020,fall,2020,fall,bottom,womens,AS,,,1,30
3651,9/30/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3652,9/30/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3653,9/30/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3654,9/30/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3655,9/30/2020,fall,2020,fall,top,womens,AL,Red,,1,50
3656,10/1/2020,fall,2020,fall,top,womens,AS,Royal,,1,50
3657,10/1/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3658,10/1/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3659,10/1/2020,fall,2020,fall,top,mens_youth,AXL,Red,,1,50
3660,10/1/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3661,10/1/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3662,10/1/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3664,10/2/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3665,10/2/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3666,10/2/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3667,10/2/2020,fall,2020,fall,top,mens_youth,AL,Red,,1,50
3668,10/2/2020,fall,2020,fall,top,mens_youth,YS,Red,,1,45
3669,10/2/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3670,10/2/2020,fall,2020,fall,top,womens,AM,Black,,1,50
3671,10/2/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3672,10/3/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3673,10/3/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3674,10/3/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3675,10/3/2020,fall,2020,fall,top,womens,AL,Red,,1,50
3676,10/4/2020,fall,2020,fall,top,womens,AM,Royal,,1,50
3678,10/5/2020,fall,2020,fall,top,womens,AL,Red,,1,50
3679,10/5/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3680,10/5/2020,fall,2020,fall,top,womens,AM,Royal,,1,50
3681,10/5/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3682,10/5/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3683,10/5/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3687,10/6/2020,fall,2020,fall,top,mens_youth,AS,Black,,1,50
3688,10/6/2020,fall,2020,fall,bottom,womens,AM,,,1,30
3689,10/6/2020,fall,2020,fall,bottom,womens,AS,,,1,30
3690,10/8/2020,fall,2020,fall,top,womens,AXL,Red,,1,50
3691,10/8/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3692,10/8/2020,fall,2020,fall,top,mens_youth,AL,Red,,1,50
3693,10/9/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3694,10/9/2020,fall,2020,fall,top,mens_youth,AL,Black,,1,50
3695,10/10/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3696,10/10/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3700,10/15/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3702,10/16/2020,fall,2020,fall,top,mens_youth,AL,Red,,1,50
3703,10/19/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3704,10/19/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3705,10/20/2020,fall,2020,fall,top,mens_youth,YM,Black,,1,45
3707,10/21/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3709,10/21/2020,fall,2020,fall,top,womens,AL,Red,,1,50
3710,10/21/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3713,10/22/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3715,10/23/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3716,10/23/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3718,10/24/2020,fall,2020,fall,socks,mens_youth,AL,,,1,12
3721,10/27/2020,fall,2020,fall,top,mens_youth,AL,Red,,1,50
3722,10/29/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3723,10/29/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3726,10/31/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3728,11/3/2020,winter,2020,winter,top,womens,AS,Royal,,1,50
3730,11/4/2020,winter,2020,winter,top,mens_youth,YM,Red,,1,45
3731,11/5/2020,winter,2020,winter,bottom,mens_youth,AS,,,1,30
3733,11/6/2020,winter,2020,winter,top,mens_youth,AS,Red,,1,50
3734,11/6/2020,winter,2020,winter,bottom,mens_youth,AS,,,1,30
3741,11/11/2020,winter,2020,winter,top,mens_youth,AS,Red,,1,50
3746,11/19/2020,winter,2020,winter,top,womens,AS,Royal,,1,50
3747,11/20/2020,winter,2020,winter,top,mens_youth,AL,Red,,1,50
3750,11/22/2020,winter,2020,winter,top,womens,AS,Royal,,1,50
3753,11/25/2020,winter,2020,winter,top,womens,AM,Royal,,1,50
3754,11/25/2020,winter,2020,winter,top,womens,AS,Royal,,1,50
3755,11/26/2020,winter,2020,winter,top,womens,AL,Royal,,1,50
3758,11/30/2020,winter,2020,winter,top,womens,AM,Royal,,1,50
3759,11/30/2020,winter,2020,winter,socks,mens_youth,AM,,,1,12
3760,11/30/2020,winter,2020,winter,top,womens,AS,Royal,,1,50
3762,12/1/2020,winter,2020,winter,top,womens,AS,Royal,,1,50
3768,12/3/2020,winter,2020,winter,top,mens_youth,YM,Red,,1,45
3771,12/6/2020,winter,2020,winter,top,womens,AM,Royal,,1,50
3776,12/22/2020,winter,2020,winter,top,womens,AS,Red,,1,50
3777,12/22/2020,winter,2020,winter,top,mens_youth,YL,Red,,1,45
3781,1/12/2021,winter,2021,winter,socks,mens_youth,AS,,,2,12
3786,1/22/2021,winter,2021,winter,top,womens,AM,Royal,,1,50
3788,1/26/2021,winter,2021,winter,bottom,mens_youth,YL,,,1,28
3791,2/2/2021,winter,2021,winter,top,womens,AM,Royal,,1,50
3792,2/2/2021,winter,2021,winter,top,mens_youth,AS,Red,,1,50
3795,2/4/2021,winter,2021,winter,socks,mens_youth,AM,,,1,12
3796,2/4/2021,winter,2021,winter,top,mens_youth,AM,Red,,1,50
3797,2/5/2021,winter,2021,winter,top,mens_youth,AL,Red,,1,50
3798,2/5/2021,winter,2021,winter,socks,mens_youth,AS,,,1,12
3799,2/7/2021,winter,2021,winter,top,mens_youth,YM,Red,,1,45
3800,2/9/2021,winter,2021,winter,socks,mens_youth,AS,,,1,12
3801,2/9/2021,winter,2021,winter,top,womens,AM,Red,,1,50
3804,2/12/2021,winter,2021,winter,top,womens,AM,Red,,1,50
3811,2/20/2021,winter,2021,winter,top,mens_youth,YM,Red,,1,45
